group,tag,definition
Where,Brent,London borough
Where,Camden,London borough
Where,City of London,London borough
Where,Lambeth,London borough
Where,Tower Hamlets,London borough
Where,Westminster,London borough
Who runs it — governance,Congregation-led,Run by the worshipping community itself
Who runs it — governance,Charity-led partnership,A charity or development trust operates the public programme alongside worship
Who runs it — governance,Council-managed,Local authority owns and manages the site
Who runs it — governance,Friends & volunteers,A volunteer Friends group stewards the site with the owner
Who runs it — governance,Institution-led,Run by a faith or heritage institution (e.g. diocese and commissioners)
Who runs it — governance,Social enterprise,Trading activities fund the community offer
Who runs it — faith,Church of England,Anglican site in active use
Who runs it — faith,Roman Catholic,Catholic site in active use
Who runs it — faith,Deconsecrated,Formerly consecrated; sacred use has formally ended
Who runs it — faith,Civic / non-denominational,Burial or civic ground never tied to one congregation
How open — publicness,L1 Closed,No public access in ordinary time
How open — publicness,L2 By arrangement,Access requires booking or invitation
How open — publicness,L3 Programmed,Regular programmed openings welcome outsiders at set times
How open — publicness,L4 Open hours,Advertised open hours most days; anyone may enter
How open — publicness,L5 Civic,Functions as public space: open daily and free
How open — sacredness,Active worship,Regular services continue
How open — sacredness,Semi-secular,Sacred traces or occasional rites within mainly secular use
How open — sacredness,Secular,No continuing sacred use
How it happened — scale,Small,"Furniture, planting, programming"
How it happened — scale,Medium,Partial conversion or new use within existing fabric
How it happened — scale,Large,"Major capital works, extensions or whole-site transformation"
How it happened — permanence,Permanent,Completed permanent works
How it happened — permanence,Evolving,Changing in phases over time
How it happened — permanence,Meanwhile,Deliberately temporary use testing what could be permanent
How it happened — funding,Heritage lottery,National Lottery Heritage Fund grants
How it happened — funding,Trading income,"Café, hire, post office and other earned income"
How it happened — funding,Council & public funds,Local or central government money
How it happened — funding,Charitable giving,"Trusts, foundations and donations"
How it happened — funding,Volunteer effort,Time and labour in place of capital
How it happened — cost,£ under £100k,Low-cost intervention
How it happened — cost,££ £100k–£1m,Mid-range project
How it happened — cost,£££ over £1m,Major capital project
How it happened — timescale,Under 2 years,From decision to opening
How it happened — timescale,2–5 years,From decision to opening
How it happened — timescale,Over 5 years,From decision to opening
What happens there,Worship,Regular religious services
What happens there,Café,Food and drink open to all
What happens there,Culture & music,"Concerts, exhibitions, performances"
What happens there,Learning,"Schools, courses, archives, research"
What happens there,Nature & gardening,"Growing, wildlife, green space care"
What happens there,Play,Children's play provision
What happens there,Everyday services,"Post office, advice, food support and similar"
What happens there,Quiet & reflection,Space to sit and be still
What happens there,Events & hire,Private and community hire
What happens there,Heritage,"Conservation, interpretation, tours"
Opportunity — dimension,Use,New or additional uses possible
Opportunity — dimension,Publicness,The site could be more open than it is
Opportunity — dimension,Interaction,Open but socially quiet; could host more contact
Opportunity — dimension,Temporality,Meanwhile or seasonal uses could test change
Opportunity — current state,In use but underused,Working site with spare capacity
Opportunity — current state,Vacant building,Empty structure awaiting a use
Opportunity — current state,Open but passive,Accessible but unprogrammed
Opportunity — current state,Restoration underway,Works in progress; later phases open
Opportunity — who could lead,Council-owned,Local authority holds the key
Opportunity — who could lead,Faith-led,Congregation or diocese best placed
Opportunity — who could lead,Charity partner needed,A trust or operator must be found
Opportunity — who could lead,Friends group active,An organised community group exists
